Date,Rendement_Bitcoin,Rendement_gold,Rendement_nvidia
2020-01-01,100,,
2020-01-02,96.766576849356923,100,100
2020-01-03,101.99033306480736,101.59021006478635,98.399466488829617
2020-01-04,102.45840162226729,,
2020-01-05,102.39867774104836,,
2020-01-06,107.7682713408706,102.66343825665859,98.816272090696913
2020-01-07,113.27675768771354,103.02336234539624,100
2020-01-08,111.94199838884413,102.10064786335973,100.18339446482163
2020-01-09,108.92524792355343,101.71454747725934,101.30043347782593
2020-01-10,113.71288091335872,102.09410378901904,101.83394464821606
2020-01-11,111.44892913692048,,
2020-01-12,113.71982555070974,,
2020-01-13,112.66146281841161,101.47241672665402,105.01833944648217
2020-01-14,122.63118419956112,101.07977226621294,103.06768922974325
2020-01-15,122.47979110530846,101.69491525423729,102.35078359453152
2020-01-16,121.21031139753882,101.46587265231332,103.75125041680559
2020-01-17,123.79649434706519,102.10719193770042,103.90130043347783
2020-01-18,123.84094002611184,,
2020-01-19,120.92280341120588,,
2020-01-20,120.02972304786243,101.95013415352399,
2020-01-21,121.28948026334065,102.13991230940384,103.33444481493832
2020-01-22,120.5380705019584,101.87160526143577,104.21807269089696
2020-01-23,116.74074279841106,102.44093972907532,105.40180060020008
2020-01-24,117.22408955804326,102.86630456121983,104.40146715571856
2020-01-25,115.85877385482929,,
2020-01-26,119.55609878052167,,
2020-01-27,123.15064307341869,103.22622864995748,100.11670556852283
2020-01-28,130.24389566376843,102.72887900006545,103.351117039013
2020-01-29,129.15497652712574,102.76814344610956,102.33411137045682
2020-01-30,132.0495013750382,103.99842942215824,102.45081693897966
2020-01-31,129.85221811716991,103.91335645572934,98.549516505501828
2020-02-01,130.30361954498738,,
2020-02-02,129.65499041640044,,
2020-02-03,129.123031195311,103.5534323669917,100.16672224074692
2020-02-04,127.69660268340786,101.79307636934756,103.00100033344448
2020-02-05,133.50093058140502,102.27079379621753,104.51817272424142
2020-02-06,135.72599238867747,102.74196714874681,105.96865621873958
2020-02-07,136.37323258979416,102.96446567633009,104.86828942980995
2020-02-08,137.44131781438372,,
2020-02-09,140.99697213811496,,
2020-02-10,136.86630184171781,103.36365421111185,109.60320106702235
2020-02-11,142.0803355648768,102.7485112230875,111.6538846282094
2020-02-12,143.30536959359983,102.84667233819775,113.60453484494832
2020-02-13,142.15811550320842,103.31784569072704,112.85428476158718
2020-02-14,143.51787549654156,103.81519534061907,120.79026342114038
2020-02-15,137.61076696574906,,
2020-02-16,137.95244312342007,,
2020-02-17,134.74540959471096,104.94077612721679,
2020-02-18,141.09280813355926,104.94077612721679,123.60786928976326
2020-02-19,133.46759632212004,105.47739022315295,131.16038679559853
2020-02-20,133.37037139920554,106.0467246907925,128.65955318439481
2020-02-21,134.51068085224588,107.89869772920622,122.57419139713237
2020-02-22,134.11066974082615,,
2020-02-23,138.09689158032168,,
2020-02-24,134.20789466374066,109.7179503959165,113.90463487829277
2020-02-25,129.40915025417374,107.97722662129443,109.21973991330445
2020-02-26,122.22978416067112,107.52568549178719,111.55385128376125
2020-02-27,122.48395788771911,107.48642104574309,105.28509503167723
2020-02-28,120.80196672129782,102.52601269550424,112.57085695231743
2020-02-29,118.66579627211868,,
2020-03-01,118.614405955721,,
2020-03-02,123.68121336703797,104.36489758523658,115.22174058019341
2020-03-03,121.68949137476039,107.61075845821611,110.82027342447482
2020-03-04,121.64087891330313,107.51914141744652,118.58952984328108
2020-03-05,125.84099558321063,109.15516000261765,113.90463487829277
2020-03-06,126.87574654851524,109.44309927360776,110.88696232077359
2020-03-07,123.44509569710269,,
2020-03-08,111.58782188394123,,
2020-03-09,110.18361621156143,109.65905372685035,102.30076692230745
2020-03-10,109.60304452901468,108.65126627838492,108.81960653551184
2020-03-11,110.21278368843579,107.47333289706171,102.73424474824941
2020-03-12,67.029639712214234,104.07041423990577,90.163387795931982
2020-03-13,77.561876718797734,99.253975525161977,100.38346115371792
2020-03-14,71.9839439984444,,
2020-03-15,74.534014833745388,,
2020-03-16,69.863051751437538,97.277665074275248,81.860620206735589
2020-03-17,73.07286313508709,99.849486290164265,90.563521173724581
2020-03-18,74.4659573877052,96.7148746809764,84.528176058686228
2020-03-19,85.724603461207252,96.806491721745957,88.762920973657884
2020-03-20,86.187116308786358,97.153327661802237,85.7619206402134
2020-03-21,85.921831161976712,,
2020-03-22,80.864746242951185,,
2020-03-23,89.848329120253339,102.58490936457039,88.646215405135052
2020-03-24,93.677602155615432,108.68398665008834,103.86795598532845
2020-03-25,92.7650768076891,106.8909102807408,102.38412804268089
2020-03-26,93.406761298924962,108.05575551338265,107.21907302434145
2020-03-27,88.521903386205167,108.24553366926249,105.3351117039013
2020-03-28,86.581571710325278,,
2020-03-29,81.813383705102922,,
2020-03-30,88.766354620961692,107.5322295661279,110.70356785595199
2020-03-31,89.064974027056309,104.48269092336888,109.86995665221741
2020-04-01,92.20395010972527,104.14239905765331,101.31710570190064
2020-04-02,94.454012611461422,107.17230547739022,106.48549516505501
2020-04-03,93.556765465707372,107.69583142464498,101.66722240746915
2020-04-04,95.2443123420095,,
2020-04-05,94.067890774743731,,
2020-04-06,101.84032889802495,110.85007525685494,111.87062354118038
2020-04-07,99.7972165893497,110.1825796741051,107.96932310770258
2020-04-08,102.2417289369149,110.22184412014921,111.27042347449149
2020-04-09,101.2389233034251,114.70453504351809,109.60320106702235
2020-04-10,95.323481207811341,,
2020-04-11,95.388760798911079,,
2020-04-12,96.080446679074413,,
2020-04-13,95.020695019306089,115.26732543681698,112.47082360786929
2020-04-14,95.154032056446,115.75813101236831,118.35611870623541
